org_key,year,event_key,match_key,match_number,time,alliance,team_key,contributedPoints,totalAutoPoints,totalTeleopPoints,totalHumanPoints,totalEndgamePoints,totalAutoCoral,totalTeleopCoral,totalCoral,startOutside,startMiddle,startInside,preMatchStart,didStartingZone,autoCoralL4,autoCoralL3,autoCoralL2,autoCoralL1,autoAlgaeProc,autoAlgaeNet,cycleSpeedFactor,totalAlgae,onBargeSpeedFactor,cycleTime,teleopStation,teleopFloor,humanNet,teleopCoralL4,teleopCoralL3,teleopCoralL2,teleopCoralL1,teleopAlgaeProc,teleopAlgaeNet,onBargeTimeStart,onBargeTimeEnd,bargeStatus,teleopCoop,diedDuringMatch,recoveredFromFreeze,reliabilityFactor,outstandingPerformance,dataGood
frc8749,2025,2025txwac,2025txwac_qm5,5,2/28/2025 5:36:00 PM,red,frc7121,14,5,8,0,0,1,1,2,1,0,0,Outside,1,0,0,0,1,0,0,2.492815415305163,1,10.002590419632025,67.5,1,0,0,0,0,0,1,1,0,0,0,Not Parked,0,1,1,0.5,0,0
frc8749,2025,2025txwac,2025txwac_qm6,6,2/28/2025 5:45:00 PM,red,frc2468,37,5,29,0,2,1,8,9,1,0,0,Outside,1,0,0,0,1,0,0,6.492815415305122,0,10.002590419632025,16.875,1,0,0,0,5,3,0,0,0,0,0,Parked,1,0,0,1.0,0,1
frc8749,2025,2025txwac,2025txwac_qm6,6,2/28/2025 5:45:00 PM,red,frc8408,0,0,0,0,0,0,0,0,0,0,1,Inside,0,0,0,0,0,0,0,0.002590419632126,0,10.002590419632025,160.0,0,0,0,0,0,0,0,0,0,0,0,Not Parked,1,0,0,1.0,0,1
frc8749,2025,2025txwac,2025txwac_qm6,6,2/28/2025 5:45:00 PM,blue,frc418,99,62,35,0,2,9,7,16,0,0,1,Inside,0,8,1,0,0,0,0,6.107525259420333,0,10.002590419632025,19.285714285714285,1,1,0,7,0,0,0,0,0,0,0,Parked,1,0,0,1.0,1,1
frc8749,2025,2025txwac,2025txwac_qm6,6,2/28/2025 5:45:00 PM,blue,frc5212,0,0,0,0,0,0,0,0,0,1,0,Middle,0,0,0,0,0,0,0,0.002590419632126,0,10.002590419632025,160.0,0,0,0,0,0,0,0,0,0,0,0,Not Parked,0,0,0,1.0,0,0
frc8749,2025,2025txwac,2025txwac_qm6,6,2/28/2025 5:45:00 PM,blue,frc3005,22,14,6,0,2,2,0,2,1,0,0,Outside,0,2,0,0,0,0,0,0.4928154153051824,1,10.002590419632025,135.0,1,1,0,0,0,0,0,1,0,0,0,Parked,1,0,0,1.0,0,0
frc8749,2025,2025txwac,2025txwac_qm7,7,2/28/2025 5:54:00 PM,red,frc6377,38,9,26,0,2,1,8,9,1,0,0,Outside,1,1,0,0,0,0,0,6.492815415305122,0,10.002590419632025,16.875,0,1,0,1,2,3,2,0,0,0,0,Parked,0,0,0,1.0,0,1
frc8749,2025,2025txwac,2025txwac_qm7,7,2/28/2025 5:54:00 PM,red,frc2582,49,5,31,0,12,1,7,8,0,0,1,Inside,1,0,0,0,1,0,0,6.832665418189743,0,4.832665418189764,15.0,1,0,0,3,4,0,0,0,0,30,0,Deep Cage,0,0,0,1.0,0,1
frc8749,2025,2025txwac,2025txwac_qm7,7,2/28/2025 5:54:00 PM,blue,frc8749,52,2,37,0,12,0,8,8,0,1,0,Middle,1,0,0,0,0,0,0,6.955466507518029,0,10.002590419632025,14.375,1,0,0,7,0,0,1,0,0,20,15,Deep Cage,1,0,0,1.0,1,0
frc8749,2025,2025txwac,2025txwac_qm7,7,2/28/2025 5:54:00 PM,blue,frc8515,6,5,0,0,0,1,0,1,1,0,0,Outside,1,0,0,0,1,0,0,0.002590419632126,0,10.002590419632025,160.0,0,0,0,0,0,0,0,0,0,0,0,Not Parked,0,1,1,0.5,0,1
